bodega,nr_articulo,articulo,unidad,sd
STOCK ALMACEN  SUMINISTROS,95004428,ROLLO VINILPEL EMP.FRUVER 300MMX1500MT,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,1337340,SABANA AJUSTABLE AZUL ALFASAFE E.I AL,Unidad,15.0
STOCK ALMACEN  SUMINISTROS,95001241,SACAGANCHOS ESTÁNDAR 24 26/6 23/8,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,95018491,SARTEN PROFESIONAL ANTIADHERENTE30CM,Unidad,7.0
STOCK ALMACEN  SUMINISTROS,97502984,SARTEN TEFLON 30 CM,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,95004478,SELLO DE SEGURIDAD VEHICULOS,Unidad,500.0
STOCK ALMACEN  SUMINISTROS,95001492,SELLO FECHADOR 2 DIGITOS + MES + AÑO,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95005611,SEPARADOR PP TAMAÑO CARTA 105 PAQX5,Unidad,20.0
STOCK ALMACEN  SUMINISTROS,95008841,SERVILLETA DE LUJO CJX6PAQ 200 SERVILLE1,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95031800,SERVILLETAS BIODEGRADABLES,Unidad,21.0
STOCK ALMACEN  SUMINISTROS,95025960,SET CUCHARA SERVIL  A.MAIZ  PAQ*100,Unidad,198.0
STOCK ALMACEN  SUMINISTROS,95032000,SET CUCHARA SERVILLETA PAQX100,Unidad,15000.0
STOCK ALMACEN  SUMINISTROS,,SET TENED CUCHI SERVIL PP BIOD PQT X 100,Unidad,4000.0
STOCK ALMACEN  SUMINISTROS,95025959,SET TENEDOR CUCHILLO SERVI A.MAÍZ P*100,Unidad,201.0
STOCK ALMACEN  SUMINISTROS,95013617,"SISTEMA GUARDIAN COMPLETO 1,5 LTS",Unidad,6.0
STOCK ALMACEN  SUMINISTROS,95001386,"SOBRE MANILA CARTA IMPR 1 TINTA 22,5X29",Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95001385,SOBRE MANILA OFICIO IMPR 1 TINTA 25X35,Unidad,96.0
STOCK ALMACEN  SUMINISTROS,95009954,SOBRE SEGURID PLAST. 15.5X22 CMS PAQX50,Unidad,80.0
STOCK ALMACEN  SUMINISTROS,1340586,SOLHIDREX CEREZA 20.7G PPS CJX30SOB LBN,Unidad,90.0
STOCK ALMACEN  SUMINISTROS,414574,SYSTANE GOT LUBR OFT FCOX15ML AL,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95018610,TABLA ACRILICA P/PICAR AMARILLA 50X38CM,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95022461,TABLA ACRILICA P/PICAR AZUL 50X38CM,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,97500779,TABLA ACRILICA P/PICAR BLANCO 50X38CM,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95018720,TABLA ACRILICA P/PICAR ROJA 50X38CM,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,97503006,TABLA ACRILICA P/PICAR ROJO 50X38CM FB,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,97503002,TABLA ACRILICA PICAR 30X45 AZUL,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,97503004,TABLA ACRILICA PICAR BLANCO 50X38CM FB,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,97503008,TABLA ACRILICA PICAR VERDE  50X38CM FB,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,97503000,TABLA PICAR AMRILLA,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95001504,TABLA PLANILLERA PLÁSTICA TAMAÑO OFICIO,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,95026920,TAPA CAZUELA 16 ONZ,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95027681,TAPA CONTENEDOR B CAÑA 12 OZ  PTE* 25 UN,Unidad,288.0
STOCK ALMACEN  SUMINISTROS,95024803,TAPA EMPAQUE ENSALADA und,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95024800,TAPA EMPAQUE GELATINA UND,Unidad,500.0
STOCK ALMACEN  SUMINISTROS,95032369,TAPA MOLDE ALUMINIO LASAÑA 16 ONZAS,Unidad,8000.0
STOCK ALMACEN  SUMINISTROS,95025963,TAPA PET BOWLS  KRAF 26 ONZ  PT*50,Unidad,174.0
STOCK ALMACEN  SUMINISTROS,95025075,TAPA VASO,Unidad,2012.0
STOCK ALMACEN  SUMINISTROS,95007903,TARRO MECHERO CALENTADOR SAMOVAR,Unidad,102.0
STOCK ALMACEN  SUMINISTROS,95005691,TIJERA INCOLMA METALICA MANGO PLASTIC 7,Unidad,8.0
STOCK ALMACEN  SUMINISTROS,95019581,TINA REDONDA,Unidad,8.0
STOCK ALMACEN  SUMINISTROS,95001266,TINTA SELLO DE CAUCHO NEGRA FCO X 30 CC,Unidad,7.0
STOCK ALMACEN  SUMINISTROS,95031071,TOALLA COCINA,Unidad,57.0
STOCK ALMACEN  SUMINISTROS,95004253,TOALLA EN Z NATURAL 24 PAQX150TOALLAS,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95021157,TOALLA MANOS ROLLO CJX6 NATUR X 120 MT,Unidad,40.0
STOCK ALMACEN  SUMINISTROS,95021830,TONER KIOCERA FS 2040 DN REF.  TK 1175,Unidad,7.0
STOCK ALMACEN  SUMINISTROS,95010413,TONER KYOCERA FS 2020 TK 342,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95008474,TONER KYOCERA TK 3102 FS 2100 N,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95030935,TONER KYOCERA TK 5382C,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95030941,TONER KYOCERA TK 5382K,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95030940,TONER KYOCERA TK 5382M,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95030939,TONER KYOCERA TK 5382Y,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95022644,VASO 12 ONZAS,Unidad,12.0
STOCK ALMACEN  SUMINISTROS,95025948,VASO 12OZ POLIBOARD PAQ*50 UN,Unidad,544.0
STOCK ALMACEN  SUMINISTROS,95027695,VASO 4 OZ BAGAZO DE CAÑA PAQ*50 UN,Unidad,60.0
STOCK ALMACEN  SUMINISTROS,95025945,VASO 7 OZ POLIBOARD PAQ*50 UN,Unidad,712.0
STOCK ALMACEN  SUMINISTROS,95020134,VASO  14 ONZAS EN ACRILICO CON TAPA DOMO,Unidad,160.0
STOCK ALMACEN  SUMINISTROS,1476157,VENDA ELASTICA C/PIEL 4X5YAR VEELAU004,Unidad,50.0
STOCK ALMACEN  SUMINISTROS,97502989,WOK ANODIZADO 32 CM BOG,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,,,,
STOCK ALMACEN  SUMINISTROS,TOTAL  ARTICULO 297,,,
STOCK ALMACEN AYB ,7290,ACEITE,Liter,333.0
STOCK ALMACEN AYB ,7292,ACEITE DE AJONJOLI,Liter,7.848
STOCK ALMACEN AYB ,7293,ACEITE DE OLIVA,Liter,33.0
STOCK ALMACEN AYB ,1483116,ACEITE DE OLIVA 10ML /BOLSA SOBRE X50 UN,Unidad,42.0
STOCK ALMACEN AYB ,7003,ACHIOTE MOLIDO,Kilogram,14.0
STOCK ALMACEN AYB ,,ADEREZO QUESO CHEDDAR,Liter,41.0
STOCK ALMACEN AYB ,,AGUA 280 ML,Unidad,168.0
STOCK ALMACEN AYB ,29018,AGUA BOTELLA,Unidad,3672.0
STOCK ALMACEN AYB ,29033,AGUA SABORIZADA  H2O,Unidad,2235.0
STOCK ALMACEN AYB ,,AGUA WAIRA SABORIZADA,Unidad,2844.0
STOCK ALMACEN AYB ,,AGUARDIENTE AMARILLO PIONERO,Liter,10.5
STOCK ALMACEN AYB ,1241542,AGUARDIENTE ANTIOQUEÑO  SIN AZUCAR,Liter,8.25
STOCK ALMACEN AYB ,,AGUARDIENTE ANTIOQUEÑO ROJO,Liter,3.75
STOCK ALMACEN AYB ,,AGUARDIENTE NECTAR CLUB,Liter,10.125
STOCK ALMACEN AYB ,5009,AJO,Kilogram,-5.0
STOCK ALMACEN AYB ,,AJO GRANULADO,Kilogram,1.06
STOCK ALMACEN AYB ,6001,AJONJOLI,Kilogram,-2.5
STOCK ALMACEN AYB ,3001,ALAS DE POLLO,Kilogram,98.8
STOCK ALMACEN AYB ,,ALAS DE POLLO ADOBADA BBQ,Kilogram,20.0
STOCK ALMACEN AYB ,5010,ALBACON,Kilogram,24.0
STOCK ALMACEN AYB ,7008,ALCAPARRAS FRASCO,Kilogram,7.6
STOCK ALMACEN AYB ,6003,ALMENDRAS,Kilogram,2.5
STOCK ALMACEN AYB ,,APANADO,Kilogram,12.0
STOCK ALMACEN AYB ,5015,APIO,Kilogram,60.0
STOCK ALMACEN AYB ,,ARANDANOS,Kilogram,13.0
STOCK ALMACEN AYB ,7337,AREPA DE HUEVO,Unidad,300.0
STOCK ALMACEN AYB ,8095,AREPA DE QUESO,Unidad,350.0
STOCK ALMACEN AYB ,8097,AREPA PAISA,Unidad,4950.0
STOCK ALMACEN AYB ,7340,AROMATICA SOBRES,Unidad,280.0
STOCK ALMACEN AYB ,6005,ARROZ,Kilogram,-720.0
STOCK ALMACEN AYB ,6007,ARROZ BASMATI,Kilogram,2.0
STOCK ALMACEN AYB ,,ARROZ FEDERAL,Kilogram,1175.0
STOCK ALMACEN AYB ,6012,ARVEJA AMARILLA,Kilogram,12.5
STOCK ALMACEN AYB ,,ARVEJA CONGELADA MCAIN,Kilogram,109.0
STOCK ALMACEN AYB ,6013,ARVEJA VERDE SECA,Kilogram,12.5
STOCK ALMACEN AYB ,7020,AVENA EN HOJUELAS,Kilogram,6.0
STOCK ALMACEN AYB ,8101,AVENA VASO,Unidad,210.0
STOCK ALMACEN AYB ,7022,AZUCAR BLANCA,Kilogram,672.5
STOCK ALMACEN AYB ,7342,AZUCAR SOBRES,Unidad,7400.0
STOCK ALMACEN AYB ,,BATIDO PARA APANAR,Kilogram,30.0
STOCK ALMACEN AYB ,7231,BECHAMEL EN POLVO,Kilogram,8.0
STOCK ALMACEN AYB ,8107,BONYURT,Unidad,39.0
STOCK ALMACEN AYB ,27003,BRANDY BOTELLA,Liter,0.75
STOCK ALMACEN AYB ,,BRETAÑA 300 CC,Unidad,194.0
STOCK ALMACEN AYB ,,BUBOLS SABORES SURTIDOS,Kilogram,25.3
STOCK ALMACEN AYB ,2007,CADERA DE RES,Kilogram,137.0332
STOCK ALMACEN AYB ,7034,CAFE EN PEPA,Kilogram,12.0
STOCK ALMACEN AYB ,7035,CAFE GOURMET,Kilogram,9.0
STOCK ALMACEN AYB ,1474050,CAFE INSTANTANEO COLCAFE 500 GR,Kilogram,5.5
STOCK ALMACEN AYB ,,CAFE MOLIDO,Kilogram,31.5
STOCK ALMACEN AYB ,,CAMARON CRUDO,Kilogram,36.0
STOCK ALMACEN AYB ,7040,CANELA EN ASTILLA,Kilogram,1.0
STOCK ALMACEN AYB ,7041,CANELA EN POLVO,Kilogram,1.02
STOCK ALMACEN AYB ,,CARNE DE HAMBURGUESA MIXTA,Unidad,2630.0
STOCK ALMACEN AYB ,,CARNE DE HAMBURGUESA MOLIDA,Unidad,7938.0
STOCK ALMACEN AYB ,6015,CEBADA PERLADA,Kilogram,7.0
STOCK ALMACEN AYB ,5032,CEBOLLA CABEZONA BLANCA,Kilogram,170.0
STOCK ALMACEN AYB ,5033,CEBOLLA CABEZONA ROJA,Kilogram,60.0
STOCK ALMACEN AYB ,,CEBOLLA EN POLVO,Kilogram,27.0
STOCK ALMACEN AYB ,5034,CEBOLLA JUNCA,Kilogram,210.0
STOCK ALMACEN AYB ,5036,CEBOLLA PUERRO,Kilogram,127.0
STOCK ALMACEN AYB ,5038,CEBOLLIN,Kilogram,4.5
STOCK ALMACEN AYB ,7047,CEREZA MARRASQUINO,Kilogram,0.5
STOCK ALMACEN AYB ,,CERVEZA HEINEKEN 0 LATA 250ML,Unidad,276.0
STOCK ALMACEN AYB ,,CERVEZA HEINEKEN CERO,Unidad,-48.0
STOCK ALMACEN AYB ,7049,CHAMPIÑON NATURAL,Kilogram,13.0
STOCK ALMACEN AYB ,7051,CHOCOLATE  CON AZUCAR,Kilogram,44.5
STOCK ALMACEN AYB ,7388,CHOCORRAMO,Unidad,100.0
STOCK ALMACEN AYB ,4003,CHORIZO,Kilogram,465.75
STOCK ALMACEN AYB ,5045,CILANTRO,Kilogram,30.0
STOCK ALMACEN AYB ,,COCA COLA 400 CC,Unidad,2112.0
STOCK ALMACEN AYB ,28021,COLA Y POLA,Unidad,-7434.0
STOCK ALMACEN AYB ,7064,COLOR,Kilogram,19.0
STOCK ALMACEN AYB ,7065,COMINO,Kilogram,25.0
STOCK ALMACEN AYB ,7395,COMPOTA,Unidad,792.0
STOCK ALMACEN AYB ,,CONCENTRADO FRUTA ARAZA -MARACUYA 2 KG,Kilogram,470.0
STOCK ALMACEN AYB ,2025,COSTILLA DE CERDO,Kilogram,101.0
STOCK ALMACEN AYB ,2027,COSTILLA DE RES,Kilogram,66.14
STOCK ALMACEN AYB ,8079,CREMA DE LECHE,Liter,19.0
STOCK ALMACEN AYB ,1475599,CROOKIES 90 GR PAQ X 4 UND,Unidad,100.0
STOCK ALMACEN AYB ,4008,CROQUETA DE YUCA,Kilogram,92.0
STOCK ALMACEN AYB ,1475598,CROSSANT JAMO Y QUES 100 GR PAQ X 4 UND,Unidad,400.0
STOCK ALMACEN AYB ,6020,CUCHUCO DE MAIZ,Kilogram,6.5
STOCK ALMACEN AYB ,6021,CUCHUCO DE TRIGO,Kilogram,10.0
STOCK ALMACEN AYB ,8125,CUCURUCHO PARA CONO DE HELADO,Unidad,6500.0
STOCK ALMACEN AYB ,,CURCUMA POLVO,Kilogram,1.0
STOCK ALMACEN AYB ,,CURRY EN POLVO BADIA,Kilogram,0.90759
STOCK ALMACEN AYB ,7238,DEMIGLACE,Kilogram,49.6
STOCK ALMACEN AYB ,,DON CHICHARRON PAQUETE,Unidad,100.0
STOCK ALMACEN AYB ,,DONAS SURTIDAS,Unidad,600.0
STOCK ALMACEN AYB ,7087,DURAZNOS EN MITADES,Kilogram,0.82
STOCK ALMACEN AYB ,7413,EMPANADA DE PAPA Y CARNE X50 GR,Unidad,1720.0
STOCK ALMACEN AYB ,1473018,EMPANADA POLLO X50 GR,Unidad,-420.0
STOCK ALMACEN AYB ,7415,ENDULZANTE STEVIA,Unidad,50.0
STOCK ALMACEN AYB ,7304,ESCENCIA SABORES SURTIDOS,Liter,2.5
STOCK ALMACEN AYB ,7098,FECULA DE MAIZ,Kilogram,2.28
STOCK ALMACEN AYB ,1020,FILETE DE BASA,Kilogram,20.0
STOCK ALMACEN AYB ,3007,FILETE DE POLLO,Kilogram,497.458
STOCK ALMACEN AYB ,1031,FILETE DE TILAPIA,Kilogram,20.0
STOCK ALMACEN AYB ,1475596,FLAT ORIGIN 6.75 X 6.75  120 UND,Unidad,360.0
STOCK ALMACEN AYB ,,FLAUTA CHOCOLATE PASTRY,Unidad,3000.0
STOCK ALMACEN AYB ,7420,FRESCO FRUTIÑO,Unidad,310.0
STOCK ALMACEN AYB ,6023,FRIJOL  ROJO/SABANERO,Kilogram,100.5
STOCK ALMACEN AYB ,,FRIJOL CARAOTA,Kilogram,15.0
STOCK ALMACEN AYB ,,GALLETA OREO TRITURADA,Kilogram,8.0
STOCK ALMACEN AYB ,6028,GARBANZO,Kilogram,5.0
STOCK ALMACEN AYB ,29034,GASEOSA KOLA SOL 330 ML,Unidad,-9120.0
STOCK ALMACEN AYB ,29035,GASEOSA KOLA SOL 600 ML,Unidad,-2835.0
STOCK ALMACEN AYB ,,GASEOSA POSTOBON 400 ML,Unidad,420.0
STOCK ALMACEN AYB ,,GASEOSA QUATRO 400 ML,Unidad,120.0
STOCK ALMACEN AYB ,29040,GASEOSA SPRITE X 400,Unidad,156.0
STOCK ALMACEN AYB ,29042,GATORADE,Unidad,1368.0
STOCK ALMACEN AYB ,7106,GELATINA SIN SABOR,Kilogram,6.5
STOCK ALMACEN AYB ,1482289,GLUTAMATO MONOSODICO,Kilogram,5.5
STOCK ALMACEN AYB ,7109,GRAGEAS SURTIDAS,Kilogram,16.75
STOCK ALMACEN AYB ,,GRANOLA,Kilogram,6.6
STOCK ALMACEN AYB ,5073,GULUPA,Kilogram,5.0
STOCK ALMACEN AYB ,7112,HARINA DE SEMOLA,Kilogram,25.0
STOCK ALMACEN AYB ,7113,HARINA DE TRIGO,Kilogram,462.5
STOCK ALMACEN AYB ,7114,HARINA PAN DE BONO,Kilogram,5.0
STOCK ALMACEN AYB ,6030,HARINA PARA AREPAS,Kilogram,9.0
STOCK ALMACEN AYB ,,HASHBROWN,Kilogram,54.48
STOCK ALMACEN AYB ,8135,HELADO CASERO SABORES SURTIDOS,Unidad,8020.0
STOCK ALMACEN AYB ,7117,HIELO EN CUBO,Kilogram,180.0
STOCK ALMACEN AYB ,5077,HIERBAS HIERBABUENA,Kilogram,4.0
STOCK ALMACEN AYB ,3009,HIGADO DE POLLO,Kilogram,5.0
STOCK ALMACEN AYB ,2034,HIGADO DE RES,Kilogram,5.0
STOCK ALMACEN AYB ,8318,HUEVOS DE GALLINA,Unidad,3540.0
STOCK ALMACEN AYB ,7489,INSTACREM SOBRE,Unidad,200.0
STOCK ALMACEN AYB ,4020,JAMON SANDWICH,Kilogram,40.5
STOCK ALMACEN AYB ,,JUGO DE LIMON COMPRADO,Liter,68.0
STOCK ALMACEN AYB ,29047,JUGO HIT BOTELLA,Unidad,864.0
STOCK ALMACEN AYB ,29048,JUGO HIT CAJA,Unidad,1656.0
STOCK ALMACEN AYB ,7313,LECHE DE COCO,Liter,10.4
STOCK ALMACEN AYB ,8083,LECHE DESLACTOSADA,Liter,258.0
STOCK ALMACEN AYB ,8084,LECHE ENT LARGA VIDA,Liter,216.0
STOCK ALMACEN AYB ,5088,LECHUGA CRESPA,Kilogram,89.0
STOCK ALMACEN AYB ,5093,LECHUGA ROMANA,Kilogram,5.0
STOCK ALMACEN AYB ,,LECHUGA RUGULA ORGANICA,Kilogram,5.0
STOCK ALMACEN AYB ,6031,LENTEJA,Kilogram,22.0
STOCK ALMACEN AYB ,7128,LEVADURA,Kilogram,20.0
STOCK ALMACEN AYB ,5095,LIMON TAHITY,Kilogram,20.0
STOCK ALMACEN AYB ,2039,LOMITO DE RES,Kilogram,6.36
STOCK ALMACEN AYB ,5097,MAIZ DESGRANADO MAC CAIN,Kilogram,155.0
STOCK ALMACEN AYB ,5105,MANZANA ROYAL,Kilogram,10.0
STOCK ALMACEN AYB ,5106,MARACUYA,Kilogram,5.0
STOCK ALMACEN AYB ,7136,MARGARINA,Kilogram,55.5
STOCK ALMACEN AYB ,7139,MAYONESA,Kilogram,15.08
STOCK ALMACEN AYB ,7508,MAYONESA SOBRES,Unidad,3672.0
STOCK ALMACEN AYB ,,MAZORCA ENTERA DULCE,Kilogram,108.0
STOCK ALMACEN AYB ,8011,MEJORADOR SURATIV,Kilogram,1.0
STOCK ALMACEN AYB ,5110,MELON,Kilogram,24.0
STOCK ALMACEN AYB ,,MEZCLA EN POLVO DE HELADO,Kilogram,159.0
STOCK ALMACEN AYB ,7314,MIEL,Liter,8.0
STOCK ALMACEN AYB ,7510,MIEL DE ABEJAS SOBRE,Unidad,2520.0
STOCK ALMACEN AYB ,,MINICROQUETA DE YUCA,Kilogram,120.0
STOCK ALMACEN AYB ,1040,MOJARRA,Kilogram,103.42
STOCK ALMACEN AYB ,4025,MORCILLA,Kilogram,5.0
STOCK ALMACEN AYB ,,MORENITAS,Kilogram,4.8
STOCK ALMACEN AYB ,29054,MR TEA  500,Unidad,1872.0
STOCK ALMACEN AYB ,7152,NACHOS NATURALES X500GR,Kilogram,19.0
STOCK ALMACEN AYB ,5113,NARANJA  VALENCIA,Kilogram,20.0
STOCK ALMACEN AYB ,7516,NATUCHIPS,Unidad,120.0
STOCK ALMACEN AYB ,7154,NESCAFE,Kilogram,18.0
STOCK ALMACEN AYB ,,NESCAFE CAPUCCINO,Kilogram,18.0
STOCK ALMACEN AYB ,5115,NUEZ MOSCADA,Kilogram,2.0
STOCK ALMACEN AYB ,7162,OREGANO POLVO,Kilogram,3.242
STOCK ALMACEN AYB ,8177,PAN BAGUETT,Unidad,420.0
STOCK ALMACEN AYB ,7165,PANELA,Kilogram,30.6
STOCK ALMACEN AYB ,7167,PAPA A LA FRANCESA,Kilogram,1350.0
STOCK ALMACEN AYB ,,PAPA CABELLO DE ANGEL,Kilogram,25.0
STOCK ALMACEN AYB ,7168,PAPA CRIOLLA PRECOCIDA,Kilogram,100.0
STOCK ALMACEN AYB ,7169,PAPA EN CASQUITOS,Kilogram,470.0
STOCK ALMACEN AYB ,5122,PAPA SABANERA,Kilogram,624.0
STOCK ALMACEN AYB ,5124,PAPAYA,Kilogram,93.0
STOCK ALMACEN AYB ,7171,PAPRIKA,Kilogram,11.694
STOCK ALMACEN AYB ,1482915,PASABOCAS RAMO ACHIRAS 25 GR 12 UND,Unidad,10.0
STOCK ALMACEN AYB ,7174,PASTA CONCHA,Kilogram,15.5
STOCK ALMACEN AYB ,7177,PASTA DE TOMATE,Kilogram,12.6
STOCK ALMACEN AYB ,7179,PASTA EN TORNILLOS,Kilogram,6.0
STOCK ALMACEN AYB ,7181,PASTA FIDEOS,Kilogram,11.0
STOCK ALMACEN AYB ,,PASTEL CARNE RANCHERO,Unidad,4750.0
STOCK ALMACEN AYB ,,PASTEL DE MANZANA PASTRY,Unidad,60.0
STOCK ALMACEN AYB ,,PASTEL ESPINACA Y RICOTTA,Unidad,80.0
STOCK ALMACEN AYB ,,PASTEL POLLO CARBONA,Unidad,6220.0
STOCK ALMACEN AYB ,,PATACONES,Kilogram,20.0
STOCK ALMACEN AYB ,5126,PATILLA,Kilogram,101.0
STOCK ALMACEN AYB ,2048,PECHO DE RES,Kilogram,194.3
STOCK ALMACEN AYB ,7192,PEPINILLOS EN VINAGRE,Kilogram,7.5
STOCK ALMACEN AYB ,5127,PEPINO COHOMBRO,Kilogram,2.0
STOCK ALMACEN AYB ,3021,PIERNA PERNIL DE POLLO,Kilogram,1110.4
STOCK ALMACEN AYB ,,PIERNITA DE POLLO,Kilogram,59.8
STOCK ALMACEN AYB ,5008,PIMENTON,Kilogram,60.0
STOCK ALMACEN AYB ,7199,PIMIENTA NEGRA,Kilogram,3.0
STOCK ALMACEN AYB ,5132,PIÑA,Kilogram,142.0
STOCK ALMACEN AYB ,7203,PIÑA CUADROS,Kilogram,30.0
STOCK ALMACEN AYB ,5134,PLATANO ARTON,Kilogram,280.0
STOCK ALMACEN AYB ,3022,POLLO ENTERO,Kilogram,1596.2
STOCK ALMACEN AYB ,7206,POLVO PARA HORNEAR,Kilogram,1.0
STOCK ALMACEN AYB ,1482918,PONQUE GANSITO RAMO TRADIC 37 GR 6 UND,Unidad,20.0
STOCK ALMACEN AYB ,,PORCION CADERA X 180 GR (PA),Unidad,172.0
STOCK ALMACEN AYB ,,PORCION DE CADERA X 100 GRS (PA),Portion,410.0
STOCK ALMACEN AYB ,,PORCION DE CADERA X 130 GRS (PA),Portion,343.0
STOCK ALMACEN AYB ,,PORCION DE MOJARRA X 300 GRS (PA),Unidad,-120.0
STOCK ALMACEN AYB ,,PORCION DE PUNTA DE ANCA X 250  GRS (PA),Unidad,88.0
STOCK ALMACEN AYB ,,PORCION FILETE PECHUGA X 150 GRS (PA),Portion,200.0
STOCK ALMACEN AYB ,,PORCION FILETE PECHUGA X 230 GRS (PA),Portion,835.0
STOCK ALMACEN AYB ,,PORCION PULPA DE CERDO X 100 GRS (PA),Unidad,4099.0
STOCK ALMACEN AYB ,,PREMEZCLA BROWINE,Kilogram,20.0
STOCK ALMACEN AYB ,6042,PREMEZCLA KOMPLET BASE,Kilogram,4.52
STOCK ALMACEN AYB ,2053,PULPA DE CERDO,Kilogram,553.819
STOCK ALMACEN AYB ,5138,PULPA DE FRUTA CONGELADA,Kilogram,175.0
STOCK ALMACEN AYB ,2055,PUNTA DE ANCA,Kilogram,48.167
STOCK ALMACEN AYB ,,QUESO AMERICAN SINGL KRAFT,Kilogram,8.16
STOCK ALMACEN AYB ,8042,QUESO CREMA,Kilogram,9.2
STOCK ALMACEN AYB ,8057,QUESO MOZARELLA,Kilogram,148.0
STOCK ALMACEN AYB ,8061,QUESO PARMESANO RALLADO,Kilogram,4.0
STOCK ALMACEN AYB ,5140,RAIZ CHINA,Kilogram,85.0
STOCK ALMACEN AYB ,,RECORTE DE CADERA X GR (PA),Portion,3164.0
STOCK ALMACEN AYB ,,RECORTE DE PUNTA DE ANCA (PA),Portion,11224.0
STOCK ALMACEN AYB ,,RON BACARDI SUPERIOR,Liter,1.4
STOCK ALMACEN AYB ,,SAL,Kilogram,158.0
STOCK ALMACEN AYB ,7550,SAL  SOBRE,Unidad,28000.0
STOCK ALMACEN AYB ,7227,SAL REFISAL PARRILLA,Kilogram,6.5
STOCK ALMACEN AYB ,7230,SALSA BBQ,Kilogram,41.0
STOCK ALMACEN AYB ,,SALSA CHIPOTLE,Kilogram,5.2
STOCK ALMACEN AYB ,7317,SALSA DE AJI,Liter,10.26
STOCK ALMACEN AYB ,7319,SALSA DE SOYA,Liter,11.25
STOCK ALMACEN AYB ,1483105,SALSA DE SOYA SOBRE,Unidad,2400.0
STOCK ALMACEN AYB ,7237,SALSA DE TOMATE,Kilogram,74.95
STOCK ALMACEN AYB ,7552,SALSA DE TOMATE SOBRE,Unidad,1020.0
STOCK ALMACEN AYB ,7321,SALSA NEGRA,Liter,7.6
STOCK ALMACEN AYB ,7323,SALSA TERIYAKI,Liter,114.0
STOCK ALMACEN AYB ,,SEMILLA DE CHIA,Kilogram,1.0
STOCK ALMACEN AYB ,1373573,SEMILLAS DE CHIA,Kilogram,-1.0
STOCK ALMACEN AYB ,7258,SPAGUETTI,Kilogram,22.0
STOCK ALMACEN AYB ,5149,SUCHINI AMARILLO,Kilogram,90.0
STOCK ALMACEN AYB ,5150,SUCHINI VERDE,Kilogram,90.0
STOCK ALMACEN AYB ,8072,SUERO COSTEÑO,Kilogram,2.0
STOCK ALMACEN AYB ,,TAJIN SALSA EN POLVO,Kilogram,-1.0
STOCK ALMACEN AYB ,,TAMAL X 350 GRS,Unidad,60.0
STOCK ALMACEN AYB ,1472817,TEQUILA DON JULIO 70 CRISTALINO,Liter,8.4
STOCK ALMACEN AYB ,,TEQUILA DON JULIO REPOSADO,Liter,8.4
STOCK ALMACEN AYB ,,TEQUILA JOSE CUERVO ESP. SILVER,Liter,1.5
STOCK ALMACEN AYB ,4048,TOCINETA AHUMADA,Kilogram,170.0
STOCK ALMACEN AYB ,2063,TOCINETA DE CERDO,Kilogram,402.1
STOCK ALMACEN AYB ,5154,TOMATE CHONTO,Kilogram,484.0
STOCK ALMACEN AYB ,1042498,TORTILLA BIMBO,Unidad,180.0
STOCK ALMACEN AYB ,24024,TRIPLE SEC,Liter,2.25
STOCK ALMACEN AYB ,,TROZOS DE FRUTA CONGELADA,Kilogram,88.0
STOCK ALMACEN AYB ,,TRUCHA DESHUESADA,Kilogram,108.49
STOCK ALMACEN AYB ,,VERDURAS MIXTAS MC CAIN,Kilogram,38.0
STOCK ALMACEN AYB ,7327,VINAGRE BALSAMICO,Liter,4.0
STOCK ALMACEN AYB ,7328,VINAGRE BLANCO,Liter,19.0
STOCK ALMACEN AYB ,,VINAGRETA SOBRES,Unidad,4500.0
STOCK ALMACEN AYB ,26051,VINO BLANCO TETRA,Liter,17.0
STOCK ALMACEN AYB ,,VINO ESPUMOSO JP ICE ROSADO,Liter,7.5
STOCK ALMACEN AYB ,,VINO LAS MORAS SAUVIGNON BLANCO,Liter,3.0
