bodega,nr_articulo,articulo,unidad,sd
STOCK ALMACEN  SUMINISTROS,95025023,BOWL 1.300 ML CON TAPA,Unidad,10000.0
STOCK ALMACEN  SUMINISTROS,95025962,BOWLS KRAFT 26 ONZ- PQ*50,Unidad,174.0
STOCK ALMACEN  SUMINISTROS,95013346,CABO PARA ESCOBA METALICO,Unidad,33.0
STOCK ALMACEN  SUMINISTROS,95004458,CABUYA POLIPROPILENO REF.12X1 RLLX750MT,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,810000514,CACEROLA CON MANGO PARA HUEVOS,Unidad,3.0
STOCK ALMACEN  SUMINISTROS,95004378,CAJA CARTON ARCHIV.X-300 BASE-TAPA C620K,Unidad,36.0
STOCK ALMACEN  SUMINISTROS,95024036,CAJA EN CARTULINA SIN IMPRESIÓN,Unidad,1000.0
STOCK ALMACEN  SUMINISTROS,95032374,CAJA MULTIFUNCIONAL BLANCA EN PAPEL ANTI,Unidad,10000.0
STOCK ALMACEN  SUMINISTROS,95019585,CAJA ORGANIZADORA,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95016497,CAJA ORGANIZADORA 15 LITROS,Unidad,19.0
STOCK ALMACEN  SUMINISTROS,95032371,CAJA PARA ALIMENTOS 45 ONZAS,Unidad,10000.0
STOCK ALMACEN  SUMINISTROS,95032370,CAJA PARA ALIMENTOS 66 ONZAS,Unidad,4400.0
STOCK ALMACEN  SUMINISTROS,95032375,CAJA PARA PAPAS PAQ X100,Unidad,12600.0
STOCK ALMACEN  SUMINISTROS,95032373,CAJA PARA PIZZA CARTÓN 25X25,Unidad,4500.0
STOCK ALMACEN  SUMINISTROS,95032372,CAJA PARA PIZZA CARTÓN 30X30,Unidad,4500.0
STOCK ALMACEN  SUMINISTROS,97502956,CAJA POLICARBO 46X66X30 CM 64.4 LT FB,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95001097,CAJA PORTA PERROS IMPRESA PAQX250,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95008204,CALCULADORA MANUAL 12 DIGITOS,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95008205,CALCULADORA MANUAL 8 DIGITOS,Unidad,6.0
STOCK ALMACEN  SUMINISTROS,97503119,CALDERO ALUMINIO TAPA 44 CM,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,97503109,CALDERO RECOR CON TAPA 40X40CM 50LT  NAC,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,97503111,CALDERO RECORT TAPA 50X40,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95006100,CANASTILLA FREIDORA,Unidad,12.0
STOCK ALMACEN  SUMINISTROS,95023198,CANDADO 38MM FANAL 1,Unidad,72.0
STOCK ALMACEN  SUMINISTROS,95008246,CANDADO YALE GRANDE 870,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,95008247,CANDADO YALE MEDIANO 850,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95025669,CANOAS EARTH PACT,Unidad,1300.0
STOCK ALMACEN  SUMINISTROS,95031896,CANOAS EN BAMBU EXTRA GRANDE,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95031895,CANOAS EN BAMBU GRANDE,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95031894,CANOAS EN BAMBU MEDIANA,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95031893,CANOAS EN BAMBU PEQUEÑA,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,95004109,CEPILLO MANO FIBRA DURA 14.7X5.5X7.5 CM,Unidad,13.0
STOCK ALMACEN  SUMINISTROS,97503189,"CHAIRA PARA AFILAR CUCHILLOS 12"" NAC",Unidad,8.0
STOCK ALMACEN  SUMINISTROS,95001491,CHINCHES COLORES SURTIDOS CJ X 50 UNID,Unidad,6.0
STOCK ALMACEN  SUMINISTROS,97503213,CHOCOLATER EN ALUMINIO 5 LT NAC,Unidad,10.0
STOCK ALMACEN  SUMINISTROS,95008636,CHURRUSCO NEGRO GRANDE P/LAVADO BIBERON,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95001221,CINTA ENMASCARAR USO GENERAL 48MMX40MTS,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,97501513,COLADOR CHINO ACERO MALLA FINA 23CM,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,95008385,COLCHONETA PARA PISCIFLASH,Unidad,22.0
STOCK ALMACEN  SUMINISTROS,95027821,CONTENEDOR  4 OZ CON TAPA,Unidad,2000.0
STOCK ALMACEN  SUMINISTROS,95027680,CONTENEDOR BAGAZO CAÑA 12 OZ PTE*25 UN,Unidad,288.0
STOCK ALMACEN  SUMINISTROS,95025839,COPA DE 2 ONZAS ALMIDON,Unidad,40.0
STOCK ALMACEN  SUMINISTROS,95031173,COPA DESECHABLE 1.5CM,Unidad,440.0
STOCK ALMACEN  SUMINISTROS,,COPA SHOT,Unidad,150.0
STOCK ALMACEN  SUMINISTROS,,COPAS CUADRADA PETIT,Unidad,400.0
STOCK ALMACEN  SUMINISTROS,95001224,COSEDORA ESTANDAR 26/6 REF. 570,Unidad,11.0
STOCK ALMACEN  SUMINISTROS,95004932,CREMA LAVALOZA LIMON REF. 402 X 500 GR,Unidad,22.0
STOCK ALMACEN  SUMINISTROS,,CUCHARA DE POSTRE,Unidad,400.0
STOCK ALMACEN  SUMINISTROS,97502911,CUCHARA PORCIONADORA 4 ONZ VERDE BOG,Unidad,17.0
STOCK ALMACEN  SUMINISTROS,95010133,CUCHARA PORCIONADORA DE 4 ONZ,Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95025957,CUCHARA POSTRE   ALMIDÓN . MAÍZ PTE* 100,Unidad,144.0
STOCK ALMACEN  SUMINISTROS,95030928,CUCHARA TRAMONTINA,Unidad,100.0
STOCK ALMACEN  SUMINISTROS,97503165,"CUCHILLO 10"" MANGO AMARILLO",Unidad,7.0
STOCK ALMACEN  SUMINISTROS,97503171,"CUCHILLO 10"" MANGO ROJO",Unidad,1.0
STOCK ALMACEN  SUMINISTROS,97503167,"CUCHILLO 10"" MANGO VERDE NAC",Unidad,9.0
STOCK ALMACEN  SUMINISTROS,95022478,"CUCHILLO 6"" AZUL",Unidad,2.0
STOCK ALMACEN  SUMINISTROS,97503145,"CUCHILLO 6"" MANGO AZUL NAC",Unidad,1.0
STOCK ALMACEN  SUMINISTROS,97503147,"CUCHILLO 6"" MANGO ROJO NAC",Unidad,3.0
STOCK ALMACEN  SUMINISTROS,97503143,"CUCHILLO 6"""" MANGO VERDE NAC",Unidad,20.0
STOCK ALMACEN  SUMINISTROS,97503153,"CUCHILLO 8"" MANGO AMARILLO",Unidad,13.0
STOCK ALMACEN  SUMINISTROS,97503155,"CUCHILLO 8"" MANGO VERDE NAC",Unidad,6.0
STOCK ALMACEN  SUMINISTROS,95009554,"CUCHILLO DE 12"" CORTE CARNE",Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95027611,"CUCHILLO DE 12"" MANGO ROJO",Unidad,1.0
STOCK ALMACEN  SUMINISTROS,95019614,CUCHILLO DE SIERRA,Unidad,5.0
STOCK ALMACEN  SUMINISTROS,97500488,CUCHILLO FUERTE INCA,Unidad,9.0
STOCK ALMACEN  SUMINISTROS,95018235,CUCHILLO TRAMONTINA DE SIERRA,Unidad,120.0
STOCK ALMACEN  SUMINISTROS,95021392,DESENGRASANTE G PLUS 3780 ML,Unidad,14.0
STOCK ALMACEN  SUMINISTROS,95021396,DESINFECTANTE ALIMENTOS XY-12 3780ML,Unidad,22.0
STOCK ALMACEN  SUMINISTROS,95021390,DESINFECTANTE AMBIENTES WHISPERV 3780ML,Unidad,37.0
STOCK ALMACEN  SUMINISTROS,95021401,DETERG ENZIMATICO PISO WASH&WALK 9450ML,Unidad,14.0
STOCK ALMACEN  SUMINISTROS,95007250,DETERGENTE EN POLVO NEUTRO BOLSA X1000GR,Unidad,22.0
STOCK ALMACEN  SUMINISTROS,95021410,DETERGENTE MULTIUSO PANTASTIC 20 LITROS,Unidad,40.0
STOCK ALMACEN  SUMINISTROS,1400413,DEXAMETASONA 8MG/2ML SHI CJX1AMP V3S,Unidad,50.0
STOCK ALMACEN  SUMINISTROS,161498,DICLOFENACO 1% GEL TBOX50G GE,Unidad,4.0
STOCK ALMACEN  SUMINISTROS,,ELECTROLIT,Unidad,30.0
STOCK ALMACEN  SUMINISTROS,95004114,ESCOBA DURA 37CM MANGO MADERA,Unidad,24.0
STOCK ALMACEN  SUMINISTROS,95004115,ESCOBA FIBRA SUAVE,Unidad,55.0
STOCK ALMACEN  SUMINISTROS,95023057,ESCURRIDOR FRITOS EN ACERO,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,97503010,ESCURRIDOR PLASTICO PARA VERDURAS FB,Unidad,2.0
STOCK ALMACEN  SUMINISTROS,95001245,ESFERO TINTA NEGRA,Unidad,27.0
STOCK ALMACEN  SUMINISTROS,95001247,ESFERO TINTA ROJA1,Unidad,1.0
